alcohol,malic_acid,flavanoids,color_intensity,proline
14.23,1.71,3.06,5.64,1065.0
13.2,1.78,2.76,4.38,1050.0
13.16,2.36,3.24,5.68,1185.0
14.37,1.95,3.49,7.8,1480.0
13.24,2.59,2.69,4.32,735.0
14.2,1.76,3.39,6.75,1450.0
14.39,1.87,2.52,5.25,1290.0
14.06,2.15,2.51,5.05,1295.0
14.83,1.64,2.98,5.2,1045.0
13.86,1.35,3.15,7.22,1045.0
14.1,2.16,3.32,5.75,1510.0
14.12,1.48,2.43,5.0,1280.0
13.75,1.73,2.76,5.6,1320.0
14.75,1.73,3.69,5.4,1150.0
14.38,1.87,3.64,7.5,1547.0
13.63,1.81,2.91,7.3,1310.0
14.3,1.92,3.14,6.2,1280.0
13.83,1.57,3.4,6.6,1130.0
14.19,1.59,3.93,8.7,1680.0
13.64,3.1,3.03,5.1,845.0
14.06,1.63,3.17,5.65,780.0
12.93,3.8,2.41,4.5,770.0
13.71,1.86,2.88,3.8,1035.0
12.85,1.6,2.37,3.93,1015.0
13.5,1.81,2.61,3.52,845.0
13.05,2.05,2.68,3.58,830.0
13.39,1.77,2.94,4.8,1195.0
13.3,1.72,2.19,3.95,1285.0
13.87,1.9,2.97,4.5,915.0
14.02,1.68,2.33,4.7,1035.0
13.73,1.5,3.25,5.7,1285.0
13.58,1.66,3.19,6.9,1515.0
13.68,1.83,2.69,3.84,990.0
13.76,1.53,2.74,5.4,1235.0
13.51,1.8,2.53,4.2,1095.0
13.48,1.81,2.98,5.1,920.0
13.28,1.64,2.68,4.6,880.0
13.05,1.65,2.43,4.25,1105.0
13.07,1.5,2.64,3.7,1020.0
14.22,3.99,3.04,5.1,760.0
13.56,1.71,3.29,6.13,795.0
13.41,3.84,2.68,4.28,1035.0
13.88,1.89,3.56,5.43,1095.0
13.24,3.98,2.63,4.36,680.0
13.05,1.77,3.0,5.04,885.0
14.21,4.04,2.65,5.24,1080.0
14.38,3.59,3.17,4.9,1065.0
13.9,1.68,3.39,6.1,985.0
14.1,2.02,2.92,6.2,1060.0
13.94,1.73,3.54,8.9,1260.0
13.05,1.73,3.27,7.2,1150.0
13.83,1.65,2.99,5.6,1265.0
13.82,1.75,3.74,7.05,1190.0
13.77,1.9,2.79,6.3,1375.0
13.74,1.67,2.9,5.85,1060.0
13.56,1.73,2.78,6.25,1120.0
14.22,1.7,3.0,6.38,970.0
13.29,1.97,3.23,6.0,1270.0
13.72,1.43,3.67,6.8,1285.0
12.37,0.94,0.57,1.95,520.0
12.33,1.1,1.09,3.27,680.0
12.64,1.36,1.41,5.75,450.0
13.67,1.25,1.79,3.8,630.0
12.37,1.13,3.1,4.45,420.0
12.17,1.45,1.75,2.95,355.0
12.37,1.21,2.65,4.6,678.0
13.11,1.01,3.18,5.3,502.0
12.37,1.17,2.0,4.68,510.0
13.34,0.94,1.3,3.17,750.0
12.21,1.19,1.28,2.85,718.0
12.29,1.61,1.02,3.05,870.0
13.86,1.51,2.86,3.38,410.0
13.49,1.66,1.84,3.74,472.0
12.99,1.67,2.89,3.35,985.0
11.96,1.09,2.14,3.21,886.0
11.66,1.88,1.57,3.8,428.0
13.03,0.9,2.03,4.6,392.0
11.84,2.89,1.32,2.65,500.0
12.33,0.99,1.85,3.4,750.0
12.7,3.87,2.55,2.57,463.0
12.0,0.92,2.26,2.5,278.0
12.72,1.81,2.53,3.9,714.0
12.08,1.13,1.58,2.2,630.0
13.05,3.86,1.59,4.8,515.0
11.84,0.89,2.21,3.05,520.0
12.67,0.98,1.94,2.62,450.0
12.16,1.61,1.69,2.45,495.0
11.65,1.67,1.61,2.6,562.0
11.64,2.06,1.69,2.8,680.0
12.08,1.33,1.59,1.74,625.0
12.08,1.83,1.5,2.4,480.0
12.0,1.51,1.25,3.6,450.0
12.69,1.53,1.46,3.05,495.0
12.29,2.83,2.25,2.15,290.0
11.62,1.99,2.26,3.25,345.0
12.47,1.52,2.27,2.6,937.0
11.81,2.12,0.99,2.5,625.0
12.29,1.41,2.5,2.9,428.0
12.37,1.07,3.75,4.5,660.0
12.29,3.17,2.99,2.3,406.0
12.08,2.08,2.17,3.3,710.0
12.6,1.34,1.36,2.45,562.0
12.34,2.45,2.11,2.8,438.0
11.82,1.72,1.64,2.06,415.0
12.51,1.73,1.92,2.94,672.0
12.42,2.55,1.84,2.7,315.0
12.25,1.73,2.03,3.4,510.0
12.72,1.75,1.76,3.3,488.0
12.22,1.29,2.04,2.7,312.0
11.61,1.35,2.92,2.65,680.0
11.46,3.74,2.58,2.9,562.0
12.52,2.43,2.27,2.0,325.0
11.76,2.68,2.03,3.8,607.0
11.41,0.74,2.01,3.08,434.0
12.08,1.39,2.29,2.9,385.0
11.03,1.51,2.17,1.9,407.0
11.82,1.47,1.6,1.95,495.0
12.42,1.61,2.09,2.06,345.0
12.77,3.43,1.25,3.4,372.0
12.0,3.43,1.64,1.28,564.0
11.45,2.4,2.79,3.25,625.0
11.56,2.05,5.08,6.0,465.0
12.42,4.43,2.13,2.08,365.0
13.05,5.8,2.65,2.6,380.0
11.87,4.31,3.03,2.8,380.0
12.07,2.16,2.65,2.76,378.0
12.43,1.53,3.15,3.94,352.0
11.79,2.13,2.24,3.0,466.0
12.37,1.63,2.45,2.12,342.0
12.04,4.3,1.75,2.6,580.0
12.86,1.35,1.25,4.1,630.0
12.88,2.99,1.22,5.4,530.0
12.81,2.31,1.09,5.7,560.0
12.7,3.55,1.2,5.0,600.0
12.51,1.24,0.58,5.45,650.0
12.6,2.46,0.66,7.1,695.0
12.25,4.72,0.47,3.85,720.0
12.53,5.51,0.6,5.0,515.0
13.49,3.59,0.48,5.7,580.0
12.84,2.96,0.6,4.92,590.0
12.93,2.81,0.5,4.6,600.0
13.36,2.56,0.5,5.6,780.0
13.52,3.17,0.52,4.35,520.0
13.62,4.95,0.8,4.4,550.0
12.25,3.88,0.78,8.21,855.0
13.16,3.57,0.55,4.0,830.0
13.88,5.04,0.34,4.9,415.0
12.87,4.61,0.65,7.65,625.0
13.32,3.24,0.76,8.42,650.0
13.08,3.9,1.39,9.4,550.0
13.5,3.12,1.57,8.6,500.0
12.79,2.67,1.36,10.8,480.0
13.11,1.9,1.28,7.1,425.0
13.23,3.3,0.83,10.52,675.0
12.58,1.29,0.58,7.6,640.0
13.17,5.19,0.63,7.9,725.0
13.84,4.12,0.83,9.01,480.0
12.45,3.03,0.58,7.5,880.0
14.34,1.68,1.31,13.0,660.0
13.48,1.67,1.1,11.75,620.0
12.36,3.83,0.92,7.65,520.0
13.69,3.26,0.56,5.88,680.0
12.85,3.27,0.6,5.58,570.0
12.96,3.45,0.7,5.28,675.0
13.78,2.76,0.68,9.58,615.0
13.73,4.36,0.47,6.62,520.0
13.45,3.7,0.92,10.68,695.0
12.82,3.37,0.66,10.26,685.0
13.58,2.58,0.84,8.66,750.0
13.4,4.6,0.96,8.5,630.0
12.2,3.03,0.49,5.5,510.0
12.77,2.39,0.51,9.899999,470.0
14.16,2.51,0.7,9.7,660.0
13.71,5.65,0.61,7.7,740.0
13.4,3.91,0.75,7.3,750.0
13.27,4.28,0.69,10.2,835.0
13.17,2.59,0.68,9.3,840.0
14.13,4.1,0.76,9.2,560.0
